Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product,Clean Name,Storage,Battery,Screen Size,Color,More Details
XIAOMI,15499,20999.0,26.19,3.9,24.0,Phones,XIAOMI Redmi 14C,8GB RAM,5160mAh,"6.88""",N/A,(256GB Storage+) (Dual Sim)  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU
Samsung,12650,19999.0,36.75,4.3,24.0,Phones,Samsung A06 6.7 DISPLAY 4GB RAM +128GB ROM 5000MAH DUAL SIM+EARBUDS+WATCH-Bk,4GB RAM +128GB ROM,N/A,N/A,N/A,
Bontel,985,1500.0,34.33,4.2,177.0,Phones,Bontel 3310,N/A,N/A,N/A,Black,"1.77'' 1000 MAh Battery, FM Radio"
Samsung,9899,19999.0,50.5,4.3,79.0,Phones,Samsung Galaxy A05,4GB RAM + 64GB ROM,5000mAh,N/A,N/A,"6.7''   (Dual Sim) 50MP,  - Black + Free Gifts"
Infinix,12099,15769.0,23.27,4.3,89.0,Phones,Infinix Hot 50i,6GB RAM,5000mAh,"6.7""",Black,"128GB + ,  (Dual SIM), Sleek   (1YR  WRTY)"
Samsung,10590,23000.0,53.96,4.1,65.0,Phones,Samsung GALAXY A05,"4GB RAM, 64GB ROM",N/A,N/A,N/A,"6.7 PLS LCD DISPLAY ,4GB RAM/64GB ROM,ANDROID 13,5000MAH,4G,DUAL,50MP+BEST GIFTS"
VILLAON,4950,9000.0,45.0,3.4,62.0,Phones,"VILLAON V20 SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim- Vert Menthe",4GB RAM,3000mAh,"5.0""",N/A,
Nokia,1639,3799.0,56.86,5.0,6.0,Phones,"Nokia New Original Nokia105 800 mAh 1.5"" Dual SIM Cards Unlocked Cheap Durable Old Phone Classic Feature",N/A,N/A,"1.5""",N/A,
XIAOMI,12340,19999.0,38.3,4.2,77.0,Phones,XIAOMI  Redmi 14C,4GB RAM,5160mAh,"6.88""",N/A,(+128GB Storage) (Dual Sim)  - Starry Blue + Free Gifts
XIAOMI,15150,30000.0,49.5,4.3,68.0,Phones,XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  WW VVT BN,8GB RAM + 256GB ROM,N/A,N/A,N/A,
Infinix,8999,13999.0,35.72,4.3,140.0,Phones,"Infinix Smart 8 6.6"" HD",2GB RAM,5000mAh,"6.6""",Gold,"+ 64GB , Android 13 (Dual sim)  - Shiny  (1YR WRTY)"
Tecno,12139,20000.0,39.3,4.4,26.0,Phones,Tecno Spark 30c,8GB RAM + 128GB ROM,N/A,N/A,N/A,"6.67'' HD+, UP to  (Dual Sim) 50MP, 5000 mAh - Orbit White"
Itel,11699,14839.0,21.16,4.6,105.0,Phones,"Itel P55 6.6""",N/A,5000mAh,"6.6""",Blue,"128GB + 6GB, (Dual SIM), 5G,  - Galaxy  (1YR WRTY)"
XIAOMI,21999,35000.0,37.15,4.5,130.0,Phones,XIAOMI Redmi Note 13,8GB RAM,5000mAh,"6.67""",Black,"256GB + , 108MP, (Dual SIM)"
XIAOMI,11099,14696.0,24.48,4.4,188.0,Phones,XIAOMI Redmi 14C,4GB RAM,5160mAh,"6.88""",Blue,(+128GB Storage) (Dual Sim)  - Starry  (2YRS WRTY)
Nice,1979,4599.0,56.97,3.6,29.0,Phones,Nice One GY-28 - 3 Column Portable Fabric Cloth Wardrobe – 8 Shelves & Hanging Section - Gray Cover,N/A,N/A,N/A,N/A,
XIAOMI,15299,20999.0,27.14,4.3,7.0,Phones,XIAOMI Redmi 14C,8GB RAM,5160mAh,"6.88""",N/A,(256GB Storage+) (Dual Sim)   COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU
HOMMY,2399,4000.0,40.02,3.6,259.0,Phones,HOMMY Portable Wardrobe 3 Column - Pink Cover,N/A,N/A,N/A,N/A,
Nice,1619,3999.0,59.51,3.9,10.0,Phones,Nice One YG-105 - 2 Column Portable Fabric Cloth Wardrobe – 5 Shelves & Hanging Section - Gray,N/A,N/A,N/A,N/A,
Realme,10890,19999.0,45.55,4.3,42.0,Phones,"Realme Note 50 6.74"" 128GB ROM+ 4GB (Expandable to 8GB RAM) 5000mAh (Dual sim) - Midnight Black","128GB ROM, 8GB RAM",5000mAh,"6.74""",N/A,
Tecno,23999,24999.0,4.0,4.8,4.0,Phones,Tecno CAMON  40 6.78'' AMOLED 120Hz,"128GB ROM, 8GB RAM",5200mAh,N/A,N/A,"128GB ROM +8GB RAM,Dual Sim, 50MP, 45W , 4G Galaxy Black_Pre-Order"
Samsung,12209,20000.0,38.96,3.5,22.0,Phones,Samsung A06 6.7 DISPLAY 4GB RAM +128GB ROM 5000MAH DUAL SIM  EDC,4GB RAM +128GB ROM,N/A,N/A,N/A,
Samsung,17999,35999.0,50.0,4.6,18.0,Phones,Samsung GALAXY A16,4GB RAM + 128GB ROM,5000mAh,N/A,N/A,"6.7'' HD+, DUAL SIM, 50MP,   COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU"
Infinix,8999,12446.0,27.7,4.3,12.0,Phones,Infinix Smart 9 HD,3GB RAM,5000mAh,"6.7""",Black,"64GB +  (Dual SIM), Metallic  (1YR WRTY)"
Itel,2899,3548.0,18.29,4.0,28.0,Phones,"Itel Flip 1 Folding Phone - 2.4"" - 1200mAh (Dual SIM)",N/A,1200mAh,"2.4""",Blue,"Wireless FM,  (1YR WRTY)"
Vivo,3299,18999.0,82.64,1.5,2.0,Phones,Vivo Refurbished Y55 4G LTE Android Phones (16GB,N/A,N/A,"5.2""",N/A,"2GB),  Octa-core, 8MP+5MP Camera Smartphones, Dual SIM, 2730 MAh Mobile Phones"
Itel,1480,2000.0,26.0,3.9,70.0,Phones,Itel 2160// Dual SIM//Black//quality Watch,N/A,N/A,N/A,N/A,
Tecno,12690,19999.0,36.55,3.6,8.0,Phones,Tecno Spark 30c,8GB RAM + 128GB ROM,N/A,N/A,N/A,"6.67'' HD+, UP To ,50MP, 5000 MAh -+FREE GIFTS."
