Name,Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product
Samsung A06 6.7 DISPLAY 4GB RAM +128GB ROM 5000MAH DUAL SIM+EARBUDS+WATCH-Bk,Samsung,"KSh 12,650","KSh 19,999",,,4.3 out of 5(24),Phones
"XIAOMI Redmi 14C, 6.88"" (256GB Storage+8GB RAM) (Dual Sim) 5160mAh COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU",XIAOMI,"KSh 15,499","KSh 20,999",,,3.8 out of 5(23),Phones
"Blackview Wave 6C, 6.5"", 2GB RAM + 32GB (Dual SIM), 8MP Camera, 5100mAh Battery - 4G, Black.",Blackview,"KSh 6,499","KSh 12,999",,,4.3 out of 5(27),Phones
"Samsung GALAXY A05,6.7 PLS LCD DISPLAY ,4GB RAM/64GB ROM,ANDROID 13,5000MAH,4G,DUAL,50MP+BEST GIFTS",Samsung,"KSh 10,590","KSh 23,000",,,4.1 out of 5(64),Phones
"Samsung Galaxy A05, 6.7''  4GB RAM + 64GB ROM (Dual Sim) 50MP, 5000mAh - Black + Free Gifts",Samsung,"KSh 9,899","KSh 19,999",,,4.3 out of 5(79),Phones
"XIAOMI  Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Starry Blue + Free Gifts",XIAOMI,"KSh 12,340","KSh 19,999",,,4.2 out of 5(77),Phones
"VILLAON V20 SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim- Vert Menthe",VILLAON,"KSh 4,950","KSh 9,000",,,3.4 out of 5(59),Phones
"Infinix Hot 50i, 6.7"", 128GB + 6GB RAM, 5000mAh (Dual SIM), Sleek Black  (1YR  WRTY)",Infinix,"KSh 12,099","KSh 15,769",,,4.3 out of 5(89),Phones
"Bontel 3310, 1.77'' 1000 MAh Battery, FM Radio, Black",Bontel,KSh 985,"KSh 1,500",,,4.2 out of 5(174),Phones
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  WW VVT BN,XIAOMI,"KSh 15,150","KSh 30,000",,,4.3 out of 5(68),Phones
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Shiny Gold (1YR WRTY)",Infinix,"KSh 8,999","KSh 13,999",,,4.3 out of 5(139),Phones
"Itel P55 6.6"", 128GB + 6GB, (Dual SIM), 5G, 5000mAh - Galaxy Blue (1YR WRTY)",Itel,"KSh 11,699","KSh 14,839",,,4.6 out of 5(105),Phones
"Tecno Spark 30c, 6.67'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Orbit White",Tecno,"KSh 12,139","KSh 20,000",,,4.4 out of 5(26),Phones
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,Oppo,"KSh 5,199","KSh 10,000",,,3.7 out of 5(139),Phones
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black",XIAOMI,"KSh 21,999","KSh 35,000",,,4.5 out of 5(130),Phones
"XIAOMI Redmi 14C, 6.88"" (256GB Storage+8GB RAM) (Dual Sim) 5160mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU",XIAOMI,"KSh 15,299","KSh 20,999",,,4.3 out of 5(7),Phones
Nice One GY-28 - 3 Column Portable Fabric Cloth Wardrobe – 8 Shelves & Hanging Section - Gray Cover,Nice,"KSh 1,979","KSh 4,599",,,3.6 out of 5(29),Phones
HOMMY Portable Wardrobe 3 Column - Pink Cover,HOMMY,"KSh 2,399","KSh 4,000",,,3.6 out of 5(258),Phones
"Samsung GALAXY A16, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU",Samsung,"KSh 17,499","KSh 35,999",,,4.6 out of 5(18),Phones
Nice One YG-105 - 2 Column Portable Fabric Cloth Wardrobe – 5 Shelves & Hanging Section - Gray,Nice,"KSh 1,619","KSh 3,999",,,3.9 out of 5(10),Phones
"Infinix Hot 50i, 6.7"", 128GB + 6GB RAM, 5000 mAh (Dual Sim), Titanium Grey  (1YR  WRTY)",Infinix,"KSh 12,099","KSh 15,769",,,4.5 out of 5(64),Phones
"Infinix Smart 9 HD, 6.7"", 64GB + 3GB RAM (Dual SIM), 5000mAh, Metallic Black (1YR WRTY)",Infinix,"KSh 8,999","KSh 12,446",,,4.3 out of 5(12),Phones
"Vivo Refurbished Y55 4G LTE Android Phones (16GB, 2GB), 5.2"" Octa-core, 8MP+5MP Camera Smartphones, Dual SIM, 2730 MAh Mobile Phones",Vivo,"KSh 3,299","KSh 18,999",,,2 out of 5(1),Phones
"Freeyond F9,2GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Black",Freeyond,"KSh 7,699","KSh 14,999",,,4 out of 5(473),Phones
"Realme Note 50 6.74"" 128GB ROM+ 4GB (Expandable to 8GB RAM) 5000mAh (Dual sim) - Midnight Black",Realme,"KSh 10,890","KSh 19,999",,,4.3 out of 5(41),Phones
"Samsung  Galaxy A16, 6GB+128GB ROM  6.7"" HD, Android 14,50MP-Camera, Battery-5000mah (Dual sim)+Smartwatch+Earbuds",Samsung,"KSh 19,499","KSh 29,999",,,4 out of 5(14),Phones
Samsung A06 6.7 DISPLAY 4GB RAM +128GB ROM 5000MAH DUAL SIM  EDC,Samsung,"KSh 12,209","KSh 20,000",,,3.5 out of 5(22),Phones
