Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product,Clean Name,Storage,Battery,Screen Size,Color,More Details
HP,"KSh 54,999","KSh 70,000",,,,Laptops,"HP ZBook Firefly 14 G7-Touchscreen-Core I7-10th Gen-16GB RAM-512 SSD-Refurbished-14""-Win 11 Pro-Grey",16GB RAM,N/A,"14""",N/A,
Lenovo,"KSh 20,000","KSh 34,900",,,,Laptops,Lenovo Refurbished Thinkpad X280 Intel Core I5 8th Gen,"8GB RAM, 256GB SSD",N/A,N/A,Black,"8GB RAM 256GB SSD, 12.5''"
HP,"KSh 8,599","KSh 16,999",,,,Laptops,HP Chromebook 11 G7 - Intel Celeron - 4GB RAM / 16GB SSD eMMC - Type C - WiFi - Webcam - Bluetooth - Chrome OS - Refurb.,"4GB RAM, 16GB SSD",N/A,N/A,N/A,
HP,"KSh 27,999","KSh 38,000",,,,Laptops,"HP EliteBook 840 G3 Intel Core I7 -8GB Ram-256GB SSD-14""-Silver WIN 10 6th Gen Refurbished","8GB Ram, 256GB SSD",N/A,"14""",N/A,
HP,"KSh 31,500","KSh 45,000",,,,Laptops,HP Refurbished EliteBook 840 G3 Core I5 16GB 512GB SSD 14 Inch 6th Gen Win 10 Touchscreen (6 Months WRTY),512GB SSD,N/A,N/A,N/A,
HP,"KSh 17,999","KSh 45,000",,,,Laptops,HP 500GB HDD 8GB RAM Refurbished ProBook 640 14 Intel Core I5 Windows 10,"500GB HDD, 8GB RAM",N/A,N/A,N/A,
HP,"KSh 18,900","KSh 20,000",,,,Laptops,"HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" 8GB RAM 500 HDD WINDOWS 10 (6 Months WRTY)",8GB RAM,N/A,"14""",N/A,
Lenovo,"KSh 28,999","KSh 35,000",,,,Laptops,Lenovo Ideapad 1,"4GB RAM, 256GB SSD",N/A,"14""",N/A,"Intel Celeron N4020, Windows 11,  HD, Grey"
DELL,"KSh 29,999","KSh 35,000",,,,Laptops,DELL Latitude 7390 2-in-1 – Intel Core i5 8th Gen,"8GB RAM, 256GB SSD",N/A,N/A,N/A,13.3 inches
Lenovo,"KSh 13,498","KSh 16,999",,,4.2 out of 5(22),Laptops,"Lenovo Refurbished Thinkpad X131e 12"" Intel Celeron 4GB",N/A,N/A,"12""",Black,500GB -  (6 Months WRTY)
HP,"KSh 20,000","KSh 29,000",,,,Laptops,"HP  Refurbished EliteBook 840 G1 Intel Core I5 14"" 500GB HDD 8GB Ram+ Free laptop bag","500GB HDD, 8GB Ram",N/A,"14""",N/A,
HP,"KSh 19,998","KSh 29,999",,,3.8 out of 5(4),Laptops,HP Refurbished EliteBook 840  Core I5,8GB RAM,N/A,N/A,Black,"500HDD,  Touchscreen"
